# fluctuations.py A_i0=20   B_i0=0   K_i0=100   L_i0=80   N=10000   T=1000   c=1   d=100   e=0.1   g=1.1   v=0.2   Ñ=180   α=0.08   λ=0.3   π_i0=0   φ=0.1   ω=0.002  
  t       firmsNum    firmsNEntry     bankruptcy         firmsK         firmsL          bankB    firmsProfit      rate          bankL     bankProfit
  0       10000.00         180.00           0.00     1000000.00      800000.00           0.00           0.00    0.0000      800000.00           0.00
  1       10180.00         128.00           0.00     1018000.00      814400.00           0.00        -255.98    0.0909      800000.00        1425.45
  2       10308.00         127.00           3.00     1022932.80      817284.77           0.00         286.20    0.0912      807127.27        1216.66
  3       10432.00         126.00           2.00     1032182.99      823166.52           5.64       -1806.44    0.0915      813210.56        1260.23
  4       10556.00         127.00           3.00     1037102.41      829481.44          10.31        -956.66    0.0914      819539.89        1257.83
  5       10680.00         127.00           1.00     1045931.38      835886.26           9.66         198.59    0.0913      825880.57        1271.43
  6       10806.00         126.00           6.00     1056241.60      842316.56           0.48        -195.36    0.0915      832286.02        1287.85
  7       10926.00         125.00           2.00     1064370.78      848516.63          20.49       -2031.90    0.0918      838727.64        1275.71
  8       11049.00         126.00           2.00     1069523.11      855064.82           2.57       -1477.60    0.0916      845208.62        1279.55
  9       11173.00         127.00           4.00     1077606.75      861558.25           2.03        -645.21    0.0913      851619.24        1278.86
 10       11296.00         127.00           6.00     1086813.77      868049.18           8.71        -248.18    0.0913      858023.66        1307.84
 11       11417.00         126.00           4.00     1096021.65      874576.38           7.90       -1250.53    0.0915      864606.42        1321.12
 12       11539.00         126.00           2.00     1102843.70      881145.92           4.85       -1859.81    0.0914      871251.52        1305.46
 13       11663.00         127.00           8.00     1109534.45      887801.64           3.05        -673.27    0.0912      877803.06        1294.82
 14       11782.00         127.00           6.00     1119049.18      894265.79          16.40        -987.04    0.0912      884292.39        1298.40
 15       11903.00         127.00          10.00     1126869.60      900869.35           9.50        -273.05    0.0912      890866.40        1304.10
 16       12020.00         127.00           4.00     1136349.62      907385.13          12.96         342.10    0.0913      897434.43        1322.22
 17       12143.00         126.00           6.00     1146543.38      914105.13           6.11       -2121.14    0.0915      904110.36        1385.83
 18       12263.00         127.00           4.00     1151292.73      920926.45          16.82        -374.95    0.0913      911070.04        1327.27
 19       12386.00         127.00           6.00     1162071.74      927820.29           2.73         924.00    0.0913      917790.51        1376.75
 20       12507.00         126.00           9.00     1173609.84      934602.85          17.55        -786.47    0.0916      924687.88        1435.22
 21       12624.00         125.00           4.00     1180793.87      941782.52           4.22         674.94    0.0917      931951.72        1436.05
 22       12745.00         125.00           2.00     1192535.34      948906.83           7.44       -1514.28    0.0919      939153.07        1512.84
 23       12868.00         125.00           1.00     1198999.83      956587.27           0.93        -368.12    0.0918      946754.48        1494.70
 24       12992.00         125.00           8.00     1209760.19      964070.94           0.26       -1491.19    0.0918      954232.64        1512.02
 25       13109.00         125.00           3.00     1217168.60      971594.08           3.30       -3188.83    0.0917      961794.05        1468.63
 26       13231.00         127.00           8.00     1222266.41      979090.64           0.29         716.17    0.0912      969153.67        1328.69
 27       13350.00         127.00           8.00     1236136.31      985800.04          10.58         419.91    0.0913      975798.60        1402.55
 28       13469.00         126.00          10.00     1245791.96      992803.99           9.66        -303.95    0.0916      982864.25        1500.23
 29       13585.00         126.00           6.00     1254728.52     1000263.62           7.38       -5992.92    0.0916      990413.70        1545.84
 30       13705.00         128.00          17.00     1253510.66     1008223.35           4.46       -1327.37    0.0909      998179.80        1226.66
 31       13816.00         130.00          24.00     1265639.47     1014461.87          19.93         472.06    0.0906     1004335.39        1139.18
 32       13922.00         129.00          22.00     1276203.98     1020183.39          66.52       -4544.78    0.0908     1010130.92        1235.71
 33       14029.00         130.00          34.00     1275929.84     1026953.37          13.80       -1568.52    0.0903     1016642.09        1052.33
 34       14125.00         131.00          52.00     1285257.50     1032289.80          39.13         930.48    0.0901     1021972.72         984.02
 35       14204.00         130.00          28.00     1296105.03     1037123.15         129.01        2420.72    0.0904     1027088.45        1085.85
 36       14306.00         128.00          17.00     1308730.76     1043329.39          48.19        1085.20    0.0910     1033162.72        1362.10
 37       14417.00         127.00          22.00     1317901.44     1050221.77          12.42        1015.74    0.0914     1040214.18        1530.97
 38       14522.00         125.00           6.00     1328897.43     1057751.53          16.10       -1421.67    0.0917     1047931.16        1652.91
 39       14641.00         126.00          12.00     1335846.81     1066093.31           5.46        -109.27    0.0916     1056276.21        1614.31
 40       14755.00         126.00           9.00     1347746.78     1074278.57           3.07       -4514.41    0.0916     1064375.09        1643.96
 41       14872.00         128.00           9.00     1349623.69     1082561.82           7.61       -3748.55    0.0911     1072610.23        1361.12
 42       14991.00         130.00          33.00     1356320.24     1089698.13           6.02        2715.21    0.0905     1079453.87        1100.40
 43       15088.00         128.00          15.00     1373491.83     1095100.06          40.76        1559.67    0.0909     1084985.97        1355.15
 44       15201.00         127.00          14.00     1383251.60     1101940.96          24.96       -3201.32    0.0913     1091965.50        1583.68
 45       15314.00         128.00          21.00     1385930.05     1110068.14           2.96       -4080.64    0.0911     1100008.72        1428.92
 46       15421.00         129.00          27.00     1390822.38     1117368.65           9.50        2747.03    0.0906     1107168.12        1127.86
 47       15523.00         128.00          23.00     1408602.99     1123010.14          23.53       -2800.32    0.0909     1112854.94        1383.04
 48       15628.00         129.00          24.00     1409778.34     1129994.62          17.56        2383.47    0.0909     1119887.81        1286.03
 49       15733.00         127.00          18.00     1426379.05     1136469.55          15.52        2364.90    0.0911     1126405.75        1517.95
 50       15842.00         126.00          12.00     1438594.76     1143831.02          24.60       -2713.27    0.0916     1134073.08        1812.80
 51       15956.00         126.00          11.00     1442626.21     1153177.99           7.68        -324.51    0.0914     1143260.06        1652.49
 52       16071.00         127.00          12.00     1455404.93     1161381.88          30.46       -4454.68    0.0913     1151560.91        1612.80
 53       16186.00         128.00          25.00     1457850.99     1169903.07           2.49       -1861.77    0.0909     1159777.22        1292.00
 54       16289.00         129.00          40.00     1467704.18     1176469.66           7.89         -18.83    0.0907     1166249.71        1162.52
 55       16378.00         129.00          35.00     1477925.12     1182294.98          24.05       -2078.70    0.0907     1172101.75        1240.34
 56       16472.00         129.00          36.00     1482675.43     1188626.70          20.50         393.23    0.0907     1178423.73        1158.42
 57       16565.00         129.00          35.00     1493967.26     1194498.49          13.30       -2825.46    0.0908     1184318.33        1268.64
 58       16659.00         129.00          49.00     1496829.69     1200848.77          32.98        1093.28    0.0906     1190728.04        1122.20
 59       16739.00         129.00          31.00     1509937.30     1206406.58          67.38       -1227.10    0.0908     1196503.93        1260.33
 60       16837.00         129.00          25.00     1515820.27     1213332.71           8.66        2475.77    0.0908     1203142.50        1309.28
 61       16941.00         127.00          28.00     1531104.45     1219879.02          12.70       -3660.17    0.0911     1209732.21        1606.67
 62       17040.00         128.00          27.00     1531786.81     1227832.32          22.27         497.81    0.0910     1217829.06        1369.27
 63       17141.00         128.00          26.00     1546046.64     1234900.30          19.92       -3745.59    0.0910     1224786.77        1445.31
 64       17243.00         129.00          47.00     1547655.31     1241953.36          72.01       -1847.62    0.0907     1232112.91        1164.80
 65       17325.00         130.00          39.00     1556662.69     1248409.19          45.78       -8548.24    0.0905     1238296.98        1026.33
 66       17416.00         132.00          95.00     1549495.19     1253939.00          55.53        5067.12    0.0899     1243657.57         278.00
 67       17453.00         131.00          68.00     1572335.22     1255519.72          91.76       10136.61    0.0903     1245325.21         828.12
 68       17516.00         126.00          12.00     1594225.97     1259665.79         136.15        1795.07    0.0915     1249924.61        2095.43
 69       17630.00         124.00           3.00     1601299.16     1270863.97           4.36      -16398.09    0.0920     1261082.49        2522.24
 70       17751.00         130.00          40.00     1582062.37     1283744.32           1.92       -2127.07    0.0906     1273715.50         869.07
 71       17841.00         132.00          97.00     1601621.89     1288562.03          23.51        8188.71    0.0900     1278070.46         424.91
 72       17876.00         129.00          50.00     1624549.50     1290363.23         112.34        1221.20    0.0908     1280312.53        1435.36
 73       17955.00         127.00          20.00     1629007.69     1298070.41          28.32       -4620.32    0.0913     1288051.01        1860.35
 74       18062.00         128.00          25.00     1630542.43     1307557.91          10.80       -5888.98    0.0910     1297494.37        1433.62
 75       18165.00         130.00          63.00     1633362.30     1314988.44          12.27        -869.30    0.0904     1304716.46         795.00
 76       18232.00         130.00          74.00     1644109.29     1318997.73          55.76       -8806.23    0.0904     1308752.80         762.77
